facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
,,,,,,,,,,,,,,
1130,Mission Station,630 Valencia St,San Francisco,94110,3577001,Own,45,Police Department,25000,-122.4219697,37.7626807,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.762680703', 'longitude': '-122.421969665'}",8,
,,,,,,,,,,,,,,
3110,ZSFGH - Building 4,1001 Potrero Ave,San Francisco,94110,4154001,Own,72,Public Health,,-122.4050887,37.75666505,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.756665048', 'longitude': '-122.405088653'}",10,
,,,,,,,,,,,,,,
1404,Richmond Branch Library,351 09th Ave,San Francisco,94118,1441007,Own,48,Public Library,13900,-122.4680992,37.78184425,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.781844245', 'longitude': '-122.468099204'}",1,
,,,,,,,,,,,,,,
1331,Potrero Hill Health Center,1050 Wisconsin St,San Francisco,94107,4219051,Own,72,Public Health,6500,-122.3989277,37.75400948,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.754009478', 'longitude': '-122.39892769'}",10,
,,,,,,,,,,,,,,
1044,Main Library,100 Larkin St,San Francisco,94102,354001,Own,48,Public Library,376000,-122.4161521,37.77908178,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.779081776', 'longitude': '-122.41615205'}",6,
,,,,,,,,,,,,,,
1184,Noe Valley Branch Library,451 Jersey St,San Francisco,94114,6539034,Own,48,Public Library,6096,-122.4350902,37.75022804,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.750228042', 'longitude': '-122.435090242'}",8,
,,,,,,,,,,,,,,
1292,Pier 94 - Wharfside Building,600 Amador St,San Francisco,94124,4502A002,Own,46,Port,800,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
1734,SWL 352 - Backlands Redevelopment,Cargo Way,San Francisco,94124,4502A002,Own,46,Port,2120275,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
3013,Sunol Yard,505 Paloma Way,Sunol,94586,,Own,47,Public Utilities Commission,12095,-121.8843407,37.59052206,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.590522061', 'longitude': '-121.884340742'}",,
,,,,,,,,,,,,,,
2020,Pier 90 - Maintenance Bldg,Cargo Way,San Francisco,94124,4502A002,Own,46,Port,1260,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
1295,Pier 96 - Maintenance Building,1000 Amador St,San Francisco,94124,4502A002,Own,46,Port,25320,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
2021,Pier 90 - Old Powerhouse,Cargo Way,San Francisco,94124,4502A002,,46,Port,1576,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
